manufacturer,model_name,model_year,body_type,fuel_type,transmission,power_(bhp),engine_(cc),mileage,kilometers,previous_owners,insurance_type,seats,city,price_in_lakhs_(₹)
Maruti,Celerio,2015,Hatchback,Petrol,Manual,67.04,998.0,23.1,120000.0,3,third_party_insurance,5,bangalore,4.0
Ford,Ecosport,2018,SUV,Petrol,Manual,121.31,1497.0,17.0,32706.0,2,Comprehensive,5,bangalore,8.11
Tata,Tiago,2018,Hatchback,Petrol,Manual,84.0,1199.0,23.84,11949.0,1,Comprehensive,5,bangalore,5.85
Hyundai,Xcent,2014,Sedan,Petrol,Manual,81.86,1197.0,19.1,17794.0,1,Comprehensive,5,bangalore,4.62
Maruti,SX4 S Cross,2015,SUV,Diesel,Manual,88.5,1248.0,23.65,60000.0,1,third_party_insurance,5,bangalore,7.9
Jeep,Compass,2020,SUV,Diesel,Manual,170.0,1956.0,17.1,20000.0,1,third_party_insurance,5,bangalore,19.0
Datsun,GO,2017,Hatchback,Petrol,Manual,67.0,1198.0,20.63,37772.0,1,Comprehensive,5,bangalore,3.45
Hyundai,Venue,2021,SUV,Petrol,Automatic,118.35,998.0,18.15,30000.0,1,third_party_insurance,5,bangalore,12.0
Maruti,Ciaz,2018,Sedan,Petrol,Automatic,103.25,1462.0,20.28,37000.0,1,Comprehensive,5,bangalore,9.6
Tata,Tiago,2017,Hatchback,Petrol,Manual,84.0,1199.0,23.84,11949.0,1,Comprehensive,5,bangalore,5.85
Maruti,Baleno,2018,Hatchback,Petrol,Manual,83.1,1197.0,21.4,50000.0,1,third_party_insurance,5,bangalore,6.9
Hyundai,Grand i10,2019,Hatchback,Petrol,Automatic,81.86,1197.0,18.9,24887.0,1,third_party_insurance,5,bangalore,6.82
Honda,Jazz,2018,Hatchback,Petrol,Automatic,88.7,1199.0,18.2,23000.0,1,Comprehensive,5,bangalore,8.25
Tata,Tiago,2018,Hatchback,Petrol,Automatic,83.83,1199.0,23.84,48928.0,1,Comprehensive,5,bangalore,5.95
Mahindra,XUV500,2014,SUV,Diesel,Manual,140.0,2179.0,15.1,108862.0,3,Comprehensive,7,bangalore,6.9
Jeep,Compass,2018,SUV,Diesel,Manual,170.0,1956.0,17.1,80000.0,1,third_party_insurance,5,bangalore,13.5
Mercedes-Benz,GLA,2022,SUV,Diesel,Automatic,187.74,1950.0,12.33,16000.0,1,Comprehensive,5,bangalore,55.95
Hyundai,i20,2014,Hatchback,Diesel,Manual,88.76,1396.0,21.27,65376.0,2,Comprehensive,5,bangalore,5.21
Tata,Nexon,2022,SUV,Petrol,Manual,118.35,1199.0,17.33,10000.0,1,third_party_insurance,5,bangalore,10.05
Honda,City,2016,Sedan,Petrol,Manual,117.3,1497.0,17.8,67000.0,2,Comprehensive,5,bangalore,7.75
BMW,5 Series,2011,Sedan,Diesel,Automatic,174.57864,1995.0,18.48,100000.0,3,third_party_insurance,5,bangalore,22.0
Maruti,Swift,2016,Hatchback,Petrol,Manual,88.5,1197.0,22.38,18083.0,1,Comprehensive,5,bangalore,5.82
Renault,Duster,2020,SUV,Petrol,Manual,104.55,1498.0,16.42,30000.0,1,third_party_insurance,5,bangalore,10.9
Tata,Tiago,2016,Hatchback,Petrol,Manual,84.0,1199.0,23.84,57634.0,2,Comprehensive,5,bangalore,4.57
